t,Prop_day
1,1
2,0.99206766337259
3,0.9511108024741447
4,1
5,0.9577656976552432
6,0.919168871510771
7,0.9549540422939251
8,0.9347594701742374
9,1
10,1
11,0.994791448241826
12,0.8903492654106063
13,0.9749080599620039
14,0.9920321555773057
15,0.9947730279231889
16,0.9989456780375133
17,0.983929005709767
18,0.9019887087414851
19,0.8992849179540227
20,0.8861332556923004
21,0.8915231829925004
22,0.8899745493539246
23,0.8805167039527133
24,1
25,1
26,1
27,1
28,0.9829080539513225
29,0.897341257651027
30,0.9280830421325208
31,1
32,1
33,1
34,0.9696940306764931
35,0.8888872349320797
36,0.8575237341752182
37,0.8774742276867651
38,1
39,1
40,1
41,0.9046627231811247
42,0.8589467798420047
43,0.9869883066339552
44,1
45,0.9658132260947175
46,0.9400766931414153
47,0.9356124934616286
48,0.973709446772522
49,0.9515272210267228
50,0.9058924608384575
51,1
52,0.9832328529047493
53,0.9371407051256375
54,1
55,0.9685904477565495
56,0.9423747939587009
57,1
58,1
59,0.9304766438131129
60,1
61,1
62,1
63,1
64,1
65,0.9916609853188938
66,1
67,1
68,0.981429038638173
69,0.9596844843224988
70,0.9198111982089168
71,0.9756753208291525
72,1
73,0.9972727324756758
74,1
75,1
76,0.9973561094643811
77,0.9307765290499341
78,1
79,1
80,1
81,1
82,1
83,1
84,0.994538322397226
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,0.9526967871162557
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,0.8705795779210481
120,0.9518700890849395
121,1
122,1
123,1
124,1
125,1
126,1
127,0.903873255117703
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,0.7532139599514872
155,1
156,1
157,1
158,0.8857541193282435
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,0.8258033392095827
172,1
173,1
174,1
175,1
176,0.7472877791689453
177,0.8790069710992178
178,1
179,0.7586778643379607
180,0.8592159138965572
181,0.8627101227162608
182,0.5948355611199696
183,0.6738288508042083
184,0.5471864840358727
185,0.7195420506132987
186,0.6257675587959659
187,1
188,1
189,0.7809932281178522
190,1
191,0.9788394030874741
192,0.5971292331800206
193,0.5870002262161284
194,0.6378831331670114
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,0.9905605551761301
206,1
207,1
208,1
209,0.887846236459504
210,1
211,0.9746579604955459
212,0.6231613488120616
213,1
214,1
215,1
216,1
217,0.8823179758754599
218,0.9561996590142835
219,1
220,1
221,0.9428820943680272
222,0.8109239744044417
223,0.7188818454403353
224,1
225,1
226,0.7850184638399721
227,1
228,1
229,1
230,0.6946435483714875
231,1
232,0.8792372408526717
233,1
234,0.9888232124623215
235,0.6624098534318604
236,1
237,1
238,0.8636460404465742
239,1
240,0.808336813635191
241,0.5936424742162804
242,0.5809589972947404
243,0.7138961220273253
244,0.9266983166124514
245,1
246,1
247,1
248,1
249,0.8903189728615067
250,0.879441938448839
251,0.7105180817173606
252,1
253,0.9192453879692254
254,0.9676238329041706
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,0.9019112254651132
267,1
268,0.7007725449241172
269,0.8585308310267189
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,0.933779946541752
278,1
279,0.6881741769820929
280,0.8649182122861859
281,0.822482126736539
282,0.9204429388504667
283,1
284,0.8443942817541835
285,0.8534068115050724
286,0.6750485803157124
287,0.8181051976413554
288,1
289,1
290,1
291,0.990935240205616
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,0.9368659799838795
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,0.883033845904111
317,1
318,1
319,1
320,0.9858460852119443
321,1
322,1
323,0.9109892224580106
324,1
325,1
326,0.9882421148677523
327,0.9918563720683025
328,1
329,1
330,1
331,1
332,1
333,0.9603199888660615
334,0.9516033730510778
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,0.9994261697931665
353,0.9811648600569483
354,0.9519788990886624
355,0.9787911704995969
356,0.9647434123052189
357,0.9189080576041424
358,0.923958233205592
359,0.9758647287124632
360,0.9962345233277297
361,1
362,1
363,0.9648015316375618
364,0.9017649543995188
365,1
