t,Temperature
1,19.75
2,21.550000190734863
3,24.050000190734863
4,22.75
5,24.300000190734863
6,25.800000190734863
7,24.700000286102295
8,25.09999942779541
9,19.09999942779541
10,18.149999618530273
11,21.799999713897705
12,26.950000286102295
13,24.250000476837158
14,22.750000476837158
15,22.25
16,22.09999942779541
17,21.5
18,26.800000190734863
19,29.000000953674316
20,28.550000190734863
21,28.299999237060547
22,28.049999237060547
23,29.199999809265137
24,21.299999713897705
25,19.500000476837158
26,21.09999990463257
27,21.75
28,21.299999237060547
29,26.850000858306885
30,27.699999809265137
31,20.899999618530273
32,19.34999990463257
33,21.09999990463257
34,24.350000381469727
35,29.850000381469727
36,29.200000762939453
37,30.100000381469727
38,17.649999618530273
39,19.800000190734863
40,21.15000009536743
41,25.84999990463257
42,30.050000190734863
43,24.600000381469727
44,22.449999809265137
45,24.40000009536743
46,25.950000762939453
47,26.69999885559082
48,22.950000762939453
49,23.94999933242798
50,26.15000057220459
51,22.449999809265137
52,22.69999933242798
53,25.200000286102295
54,22.050000190734863
55,24.59999942779541
56,25.75
57,23.450000762939453
58,22.850000381469727
59,26.69999885559082
60,22.40000009536743
61,17.999999523162842
62,15.699999570846558
63,17.750000476837158
64,20.65000009536743
65,22.399999618530273
66,22.499999523162842
67,21.40000009536743
68,22.84999942779541
69,24.749999046325684
70,27.75
71,25.90000057220459
72,21.350000381469727
73,23.25
74,22.15000057220459
75,19.90000009536743
76,21.050000190734863
77,26.199999809265137
78,20.899999618530273
79,21.5
80,19.299999713897705
81,17.399999618530273
82,16.199999809265137
83,18.25
84,21.09999990463257
85,23.699999809265137
86,17.800000190734863
87,15.100000381469727
88,17.749999523162842
89,17.450000286102295
90,19.800000190734863
91,23.649999618530273
92,22.84999942779541
93,23.300000190734863
94,17.000000476837158
95,14.25
96,15.750000476837158
97,18.800000190734863
98,22.450000762939453
99,14.649999618530273
100,14.250000476837158
101,14.849999904632568
102,16.75
103,16.149999618530273
104,15.799999713897705
105,19.299999713897705
106,18.15000009536743
107,14.850000381469727
108,12.649999976158142
109,13.650000095367432
110,16.050000190734863
111,15.800000190734863
112,14.700000286102295
113,15.25
114,16.5
115,20.299999713897705
116,15.949999809265137
117,14.400000095367432
118,13.800000190734863
119,11.15000033378601
120,13.049999833106995
121,14.700000286102295
122,13.550000190734863
123,13.100000381469727
124,12.100000381469727
125,12.200000286102295
126,12.650000095367432
127,12.700000405311584
128,14.799999713897705
129,15.950000286102295
130,17
131,14.099999904632568
132,12
133,11.90000033378601
134,12.400000095367432
135,12.700000286102295
136,12.349999904632568
137,14.150000095367432
138,16.449999809265137
139,15.050000190734863
140,14.599999904632568
141,16.050000190734863
142,16.15000009536743
143,13.5
144,15.050000190734863
145,13.949999809265137
146,11.950000286102295
147,13.40000033378601
148,12.90000033378601
149,9.849999904632568
150,11.849999904632568
151,10.050000190734863
152,13.049999713897705
153,12.000000238418579
154,8.649999856948853
155,11.249999761581421
156,9.400000095367432
157,8.050000190734863
158,9.350000023841858
159,12.849999904632568
160,11.300000190734863
161,12.500000476837158
162,15.599999904632568
163,15.700000286102295
164,12.099999904632568
165,10.400000095367432
166,12.850000381469727
167,12.099999904632568
168,13.599999904632568
169,11.149999856948853
170,12
171,9.699999809265137
172,11.25
173,12.049999952316284
174,11.899999856948853
175,9.700000286102295
176,8.800000190734863
177,10.649999976158142
178,12.700000047683716
179,8.399999856948853
180,7.499999761581421
181,9.200000047683716
182,7.800000101327896
183,8.300000011920929
184,7.350000187754631
185,8.5
186,6.749999821186066
187,9.75
188,9
189,10.449999630451202
190,13.000000238418579
191,9.800000190734863
192,7.750000089406967
193,8.199999809265137
194,9.000000387430191
195,12
196,12.700000286102295
197,10.700000286102295
198,9.099999904632568
199,10.449999809265137
200,8.900000095367432
201,12.600000381469727
202,12.449999809265137
203,11.049999713897705
204,11.5
205,8.449999809265137
206,10.400000095367432
207,11.800000190734863
208,12.100000381469727
209,10.90000033378601
210,12.850000381469727
211,9.149999856948853
212,7.149999916553497
213,10.699999809265137
214,9.650000095367432
215,9.400000095367432
216,10.150000095367432
217,8.300000190734863
218,9.450000166893005
219,12.200000286102295
220,10.450000047683716
221,7.3500001430511475
222,8.700000047683716
223,7.850000023841858
224,11.099999904632568
225,11.149999618530273
226,9.199999809265137
227,12.499999523162842
228,12.650000095367432
229,10.000000238418579
230,8.20000010728836
231,11.049999952316284
232,10.049999594688416
233,10.5
234,8.700000047683716
235,7.5000001192092896
236,9.950000047683716
237,11.849999904632568
238,11.750000238418579
239,10.900000095367432
240,8.600000143051147
241,7.399999916553497
242,7.900000095367432
243,9.150000393390656
244,11.15000033378601
245,11.999999761581421
246,10.949999809265137
247,11.400000095367432
248,13.200000286102295
249,8.600000023841858
250,10.349999785423279
251,8.049999833106995
252,12.100000381469727
253,11.90000033378601
254,12.850000381469727
255,15.700000286102295
256,12.599999904632568
257,10.999999523162842
258,12.199999809265137
259,13.349999904632568
260,12.25
261,14.249999523162842
262,12.150000095367432
263,11.400000095367432
264,13.699999570846558
265,10.149999856948853
266,11.350000143051147
267,11.599999904632568
268,8.999999642372131
269,11.049999833106995
270,13.850000381469727
271,15.549999713897705
272,17.050000190734863
273,16.25
274,14.250000476837158
275,11.999999523162842
276,11.650000095367432
277,12.59999966621399
278,14.549999713897705
279,9.25
280,10.5
281,12.699999988079071
282,11.84999966621399
283,12.649999618530273
284,10.09999966621399
285,10.199999809265137
286,9.5
287,11.299999833106995
288,13.600000143051147
289,13.549999952316284
290,12.500000476837158
291,14.100000143051147
292,18.59999990463257
293,16.59999990463257
294,15.950000286102295
295,16.449999809265137
296,17.350000381469727
297,15.599999904632568
298,15.649999618530273
299,14.599999904632568
300,12.649999618530273
301,14.299999713897705
302,10.5
303,10.100000143051147
304,10.600000023841858
305,15.199999809265137
306,16
307,19
308,18.449999809265137
309,15.5
310,15.550000190734863
311,17.600000381469727
312,15.400000095367432
313,17.649999618530273
314,13.800000429153442
315,13.300000190734863
316,10.399999856948853
317,14.249999523162842
318,13.800000190734863
319,16.550000429153442
320,21.499999523162842
321,15.199999809265137
322,11.099999904632568
323,11.600000381469727
324,13.750000238418579
325,16.299999952316284
326,19.90000009536743
327,23.700000762939453
328,19.699999809265137
329,17.699999809265137
330,18.15000009536743
331,16.25
332,17.90000057220459
333,22.05000066757202
334,26.5
335,20.949999809265137
336,20.749999523162842
337,21.15000009536743
338,18.250000476837158
339,18.100000381469727
340,19.299999713897705
341,19.300000190734863
342,20.90000009536743
343,19.90000009536743
344,16.899999618530273
345,15.90000033378601
346,16.600000381469727
347,16.65000009536743
348,19.34999990463257
349,19.299999713897705
350,18.300000190734863
351,19.75
352,21.600000381469727
353,22.850000381469727
354,24.200000762939453
355,22.700000762939453
356,23.25
357,25.500000476837158
358,25.40000057220459
359,24.59999942779541
360,23.300000190734863
361,19.850000381469727
362,18.949999809265137
363,22.699999809265137
364,26.15000057220459
365,22.25
